,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model80137.csv,238,51,8,4,4,301,2,0
model80138.csv,236,48,12,5,5,301,2,0
model80139.csv,239,49,9,4,4,301,2,0
model80140.csv,216,53,13,19,19,301,2,0
model80141.csv,221,53,19,8,8,301,2,0
model80142.csv,240,51,7,3,3,301,2,0
model80143.csv,241,52,7,1,1,301,2,0
model80144.csv,229,57,8,7,7,301,2,0
model80145.csv,230,58,11,2,2,301,2,0
model80146.csv,252,41,6,2,2,301,2,0
model80147.csv,255,41,4,1,1,301,2,0
model80148.csv,232,47,7,15,15,301,2,0
model80149.csv,237,46,13,5,5,301,2,0
model80150.csv,247,46,5,3,3,301,2,0
model80151.csv,250,47,3,1,1,301,2,0
model80152.csv,248,44,6,3,3,301,2,0
model80153.csv,251,45,4,1,1,301,2,0
model80154.csv,230,49,17,5,5,301,2,0
model80155.csv,235,49,16,1,1,301,2,0
model80156.csv,245,47,3,6,6,301,2,0
model80157.csv,246,48,6,1,1,301,2,0
model80158.csv,252,46,2,1,1,301,2,0
model80159.csv,253,47,1,0,0,301,1,0
model80160.csv,243,51,5,2,2,301,2,0
model80161.csv,244,52,5,0,0,301,1,0
model80162.csv,248,40,11,2,2,301,2,0
model80163.csv,228,45,13,15,15,301,2,0
model80164.csv,244,44,11,2,2,301,2,0
model80165.csv,226,48,23,4,4,301,2,0
model80166.csv,246,45,4,6,6,301,2,0
model80167.csv,245,48,5,3,3,301,2,0
model80168.csv,260,39,1,1,1,301,2,0
model80169.csv,261,40,0,0,0,301,1,0
model80170.csv,250,44,2,5,5,301,2,0
model80171.csv,251,45,4,1,1,301,2,0
model80172.csv,252,47,2,0,0,301,1,0
model80173.csv,253,48,0,0,0,301,1,0
model80174.csv,245,50,5,1,1,301,2,0
model80175.csv,246,51,4,0,0,301,1,0
model80176.csv,259,38,2,2,2,301,2,0
model80177.csv,260,39,2,0,0,301,1,0
model80178.csv,246,46,3,6,6,301,2,0
model80179.csv,247,47,6,1,1,301,2,0
model80180.csv,252,45,2,2,2,301,2,0
model80181.csv,253,46,2,0,0,301,1,0
model80182.csv,243,50,5,3,3,301,2,0
model80183.csv,244,51,6,0,0,301,1,0
model80184.csv,246,45,9,1,1,301,2,0
model80185.csv,249,45,7,0,0,301,1,0
model80186.csv,233,52,11,5,5,301,2,0
model80187.csv,236,52,12,1,1,301,2,0
model80188.csv,239,50,11,1,1,301,2,0
model80189.csv,242,50,9,0,0,301,1,0
model80190.csv,230,55,14,2,2,301,2,0
model80191.csv,233,55,13,0,0,301,1,0
model80192.csv,246,42,11,2,2,301,2,0
model80193.csv,249,43,8,1,1,301,2,0
model80194.csv,226,47,13,15,15,301,2,0
model80195.csv,231,47,18,5,5,301,2,0
model80196.csv,243,46,9,3,3,301,2,0
model80197.csv,246,47,7,1,1,301,2,0
model80198.csv,244,44,10,3,3,301,2,0
model80199.csv,247,45,8,1,1,301,2,0
model80200.csv,226,48,22,5,5,301,2,0
model80201.csv,231,48,21,1,1,301,2,0
model80202.csv,243,42,14,2,2,301,2,0
model80203.csv,223,46,17,15,15,301,2,0
model80204.csv,241,45,13,2,2,301,2,0
model80205.csv,223,48,26,4,4,301,2,0
model80206.csv,261,37,3,0,0,301,1,0
model80207.csv,262,38,1,0,0,301,1,0
model80208.csv,251,42,4,4,4,301,2,0
model80209.csv,252,43,5,1,1,301,2,0
model80210.csv,254,43,3,1,1,301,2,0
model80211.csv,255,46,0,0,0,301,1,0
