,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model40001.csv,251,42,5,3,3,301,2,0
model40002.csv,242,46,9,4,4,301,2,0
model40003.csv,260,38,2,1,1,301,2,0
model40004.csv,257,41,2,1,1,301,2,0
model40005.csv,265,34,1,1,1,301,2,0
model40006.csv,262,36,2,1,1,301,2,0
model40007.csv,258,40,2,1,1,301,2,0
model40008.csv,255,42,3,1,1,301,2,0
model40009.csv,273,27,1,0,0,301,1,0
model40010.csv,270,30,1,0,0,301,1,0
model40011.csv,264,35,2,0,0,301,1,0
model40012.csv,261,38,2,0,0,301,1,0
model40013.csv,259,40,2,0,0,301,1,0
model40014.csv,256,44,1,0,0,301,1,0
model40015.csv,263,37,1,0,0,301,1,0
model40016.csv,260,40,1,0,0,301,1,0
model40017.csv,256,43,2,0,0,301,1,0
model40018.csv,253,46,2,0,0,301,1,0
model40019.csv,253,41,6,1,1,301,2,0
model40020.csv,251,42,7,1,1,301,2,0
model40021.csv,246,44,10,1,1,301,2,0
model40022.csv,244,45,11,1,1,301,2,0
model40023.csv,269,31,1,0,0,301,1,0
model40024.csv,266,34,1,0,0,301,1,0
model40025.csv,262,37,2,0,0,301,1,0
model40026.csv,259,40,2,0,0,301,1,0
model40027.csv,261,39,1,0,0,301,1,0
model40028.csv,258,42,1,0,0,301,1,0
model40029.csv,254,45,2,0,0,301,1,0
model40030.csv,251,48,2,0,0,301,1,0
model40031.csv,244,45,9,3,3,301,2,0
model40032.csv,243,42,11,5,5,301,2,0
model40033.csv,257,38,6,0,0,301,1,0
model40034.csv,254,36,8,3,3,301,2,0
model40035.csv,249,45,7,0,0,301,1,0
model40036.csv,248,44,9,0,0,301,1,0
model40037.csv,292,8,1,0,0,301,1,0
model40038.csv,271,25,5,0,0,301,1,0
model40039.csv,272,21,8,0,0,301,1,0
model40040.csv,270,24,7,0,0,301,1,0
model40041.csv,264,28,9,0,0,301,1,0
model40042.csv,277,18,6,0,0,301,1,0
model40043.csv,270,23,8,0,0,301,1,0
model40044.csv,271,21,9,0,0,301,1,0
model40045.csv,267,23,11,0,0,301,1,0
model40046.csv,265,23,13,0,0,301,1,0
model40047.csv,244,41,16,0,0,301,1,0
model40048.csv,242,40,19,0,0,301,1,0
model40049.csv,246,39,16,0,0,301,1,0
model40050.csv,240,43,17,1,1,301,2,0
model40051.csv,233,41,20,7,7,301,2,0
model40052.csv,237,35,29,0,0,301,1,0
model40053.csv,229,37,34,1,1,301,2,0
model40054.csv,261,36,4,0,0,301,1,0
model40055.csv,261,36,4,0,0,301,1,0
model40056.csv,281,18,2,0,0,301,1,0
model40057.csv,277,20,4,0,0,301,1,0
model40058.csv,280,20,0,1,1,301,2,0
model40059.csv,276,21,1,3,3,301,2,0
model40060.csv,241,33,25,2,2,301,2,0
model40061.csv,241,37,20,3,3,301,2,0
model40062.csv,242,35,23,1,1,301,2,0
model40063.csv,242,38,19,2,2,301,2,0
model40064.csv,269,28,4,0,0,301,1,0
model40065.csv,265,32,4,0,0,301,1,0
model40066.csv,273,27,1,0,0,301,1,0
model40067.csv,272,27,2,0,0,301,1,0
model40068.csv,269,28,2,2,2,301,2,0
model40069.csv,257,32,10,2,2,301,2,0
model40070.csv,261,35,5,0,0,301,1,0
model40071.csv,264,32,4,1,1,301,2,0
model40072.csv,275,24,1,1,1,301,2,0
model40073.csv,249,38,7,7,7,301,2,0
model40074.csv,242,40,8,11,11,301,2,0
model40075.csv,264,34,2,1,1,301,2,0
model40076.csv,258,36,3,4,4,301,2,0
model40077.csv,272,28,1,0,0,301,1,0
model40078.csv,264,30,3,4,4,301,2,0
model40079.csv,262,37,2,0,0,301,1,0
model40080.csv,256,41,3,1,1,301,2,0
model40081.csv,253,35,12,1,1,301,2,0
model40082.csv,247,37,13,4,4,301,2,0
model40083.csv,270,30,1,0,0,301,1,0
model40084.csv,262,32,3,4,4,301,2,0
model40085.csv,260,39,2,0,0,301,1,0
model40086.csv,254,43,3,1,1,301,2,0
model40087.csv,272,28,1,0,0,301,1,0
model40088.csv,263,35,1,2,2,301,2,0
model40089.csv,262,29,6,4,4,301,2,0
model40090.csv,252,37,6,6,6,301,2,0
model40091.csv,265,32,4,0,0,301,1,0
model40092.csv,253,42,4,2,2,301,2,0
model40093.csv,257,33,8,3,3,301,2,0
model40094.csv,245,43,7,6,6,301,2,0
model40095.csv,255,23,19,4,4,301,2,0
model40096.csv,245,36,15,5,5,301,2,0
model40097.csv,255,23,23,0,0,301,1,0
model40098.csv,243,37,16,5,5,301,2,0
model40099.csv,253,25,20,3,3,301,2,0
model40100.csv,241,40,15,5,5,301,2,0
model40101.csv,291,9,1,0,0,301,1,0
model40102.csv,262,30,9,0,0,301,1,0
model40103.csv,267,22,12,0,0,301,1,0
model40104.csv,265,27,9,0,0,301,1,0
model40105.csv,259,31,11,0,0,301,1,0
model40106.csv,278,18,5,0,0,301,1,0
model40107.csv,273,23,5,0,0,301,1,0
model40108.csv,274,22,5,0,0,301,1,0
model40109.csv,272,24,5,0,0,301,1,0
model40110.csv,247,44,10,0,0,301,1,0
model40111.csv,255,40,6,0,0,301,1,0
model40112.csv,249,43,9,0,0,301,1,0
model40113.csv,249,42,10,0,0,301,1,0
model40114.csv,245,42,14,0,0,301,1,0
model40115.csv,244,42,15,0,0,301,1,0
model40116.csv,240,44,16,1,1,301,2,0
model40117.csv,239,44,17,1,1,301,2,0
model40118.csv,228,46,21,6,6,301,2,0
model40119.csv,231,43,20,7,7,301,2,0
model40120.csv,236,36,29,0,0,301,1,0
model40121.csv,228,37,35,1,1,301,2,0
model40122.csv,260,37,4,0,0,301,1,0
model40123.csv,260,37,4,0,0,301,1,0
model40124.csv,276,22,3,0,0,301,1,0
model40125.csv,270,26,5,0,0,301,1,0
model40126.csv,275,24,1,1,1,301,2,0
model40127.csv,269,26,3,3,3,301,2,0
model40128.csv,241,40,18,2,2,301,2,0
model40129.csv,241,44,14,2,2,301,2,0
model40130.csv,226,52,15,8,8,301,2,0
model40131.csv,242,42,16,1,1,301,2,0
model40132.csv,242,45,13,1,1,301,2,0
model40133.csv,227,53,14,7,7,301,2,0
model40134.csv,264,33,4,0,0,301,1,0
model40135.csv,252,39,8,2,2,301,2,0
model40136.csv,258,38,5,0,0,301,1,0
model40137.csv,245,44,9,3,3,301,2,0
model40138.csv,268,31,2,0,0,301,1,0
model40139.csv,253,38,7,3,3,301,2,0
model40140.csv,265,33,3,0,0,301,1,0
model40141.csv,252,40,7,2,2,301,2,0
model40142.csv,262,33,4,2,2,301,2,0
model40143.csv,245,39,7,10,10,301,2,0
model40144.csv,252,37,10,2,2,301,2,0
model40145.csv,239,46,12,4,4,301,2,0
model40146.csv,254,41,6,0,0,301,1,0
model40147.csv,243,51,6,1,1,301,2,0
model40148.csv,257,38,5,1,1,301,2,0
model40149.csv,241,47,6,7,7,301,2,0
model40150.csv,268,30,2,1,1,301,2,0
model40151.csv,254,37,3,7,7,301,2,0
model40152.csv,251,36,7,7,7,301,2,0
model40153.csv,239,47,6,9,9,301,2,0
model40154.csv,266,32,2,1,1,301,2,0
model40155.csv,255,42,1,3,3,301,2,0
model40156.csv,262,35,2,2,2,301,2,0
model40157.csv,265,34,2,0,0,301,1,0
model40158.csv,253,45,2,1,1,301,2,0
model40159.csv,243,45,10,3,3,301,2,0
model40160.csv,260,37,2,2,2,301,2,0
model40161.csv,251,47,2,1,1,301,2,0
model40162.csv,248,38,9,6,6,301,2,0
model40163.csv,252,38,7,4,4,301,2,0
model40164.csv,244,42,11,4,4,301,2,0
model40165.csv,264,35,1,1,1,301,2,0
model40166.csv,266,33,1,1,1,301,2,0
model40167.csv,260,36,3,2,2,301,2,0
model40168.csv,272,28,1,0,0,301,1,0
model40169.csv,260,35,6,0,0,301,1,0
model40170.csv,273,27,1,0,0,301,1,0
model40171.csv,262,34,5,0,0,301,1,0
model40172.csv,265,31,4,1,1,301,2,0
model40173.csv,253,38,9,1,1,301,2,0
model40174.csv,263,36,2,0,0,301,1,0
model40175.csv,251,43,7,0,0,301,1,0
model40176.csv,265,34,2,0,0,301,1,0
model40177.csv,254,41,6,0,0,301,1,0
model40178.csv,258,40,3,0,0,301,1,0
model40179.csv,246,47,8,0,0,301,1,0
