,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model20001.csv,270,21,7,3,3,301,2,0
model20002.csv,270,22,7,2,2,301,2,0
model20003.csv,269,22,6,4,4,301,2,0
model20004.csv,253,32,12,4,4,301,2,0
model20005.csv,252,32,10,7,7,301,2,0
model20006.csv,262,30,7,2,2,301,2,0
model20007.csv,261,28,8,4,4,301,2,0
model20008.csv,263,27,9,2,2,301,2,0
model20009.csv,262,27,7,5,5,301,2,0
model20010.csv,259,30,10,2,2,301,2,0
model20011.csv,258,30,9,4,4,301,2,0
model20012.csv,259,32,8,2,2,301,2,0
model20013.csv,258,32,8,3,3,301,2,0
model20014.csv,275,20,6,0,0,301,1,0
model20015.csv,274,21,6,0,0,301,1,0
model20016.csv,274,21,6,0,0,301,1,0
model20017.csv,273,22,6,0,0,301,1,0
model20018.csv,278,17,6,0,0,301,1,0
model20019.csv,277,18,6,0,0,301,1,0
model20020.csv,277,18,6,0,0,301,1,0
model20021.csv,276,19,6,0,0,301,1,0
model20022.csv,272,21,5,3,3,301,2,0
model20023.csv,271,22,5,3,3,301,2,0
model20024.csv,274,20,7,0,0,301,1,0
model20025.csv,273,21,7,0,0,301,1,0
model20026.csv,273,21,7,0,0,301,1,0
model20027.csv,272,22,7,0,0,301,1,0
model20028.csv,269,24,6,2,2,301,2,0
model20029.csv,268,24,6,3,3,301,2,0
model20030.csv,268,25,6,2,2,301,2,0
model20031.csv,267,25,5,4,4,301,2,0
model20032.csv,276,19,6,0,0,301,1,0
model20033.csv,275,19,7,0,0,301,1,0
model20034.csv,275,20,6,0,0,301,1,0
model20035.csv,274,20,7,0,0,301,1,0
model20036.csv,271,23,5,2,2,301,2,0
model20037.csv,270,22,6,3,3,301,2,0
model20038.csv,270,24,5,2,2,301,2,0
model20039.csv,269,23,5,4,4,301,2,0
model20040.csv,274,19,8,0,0,301,1,0
model20041.csv,273,20,8,0,0,301,1,0
model20042.csv,273,20,8,0,0,301,1,0
model20043.csv,272,21,8,0,0,301,1,0
model20044.csv,269,23,7,2,2,301,2,0
model20045.csv,268,23,8,2,2,301,2,0
model20046.csv,268,24,7,2,2,301,2,0
model20047.csv,267,24,5,5,5,301,2,0
model20048.csv,276,17,8,0,0,301,1,0
model20049.csv,275,18,8,0,0,301,1,0
model20050.csv,275,18,8,0,0,301,1,0
model20051.csv,274,19,8,0,0,301,1,0
model20052.csv,271,21,7,2,2,301,2,0
model20053.csv,270,21,7,3,3,301,2,0
model20054.csv,270,22,7,2,2,301,2,0
model20055.csv,269,22,6,4,4,301,2,0
model20056.csv,273,21,7,0,0,301,1,0
model20057.csv,272,22,7,0,0,301,1,0
model20058.csv,272,22,7,0,0,301,1,0
model20059.csv,271,23,7,0,0,301,1,0
model20060.csv,267,26,6,2,2,301,2,0
model20061.csv,266,26,7,2,2,301,2,0
model20062.csv,266,27,6,2,2,301,2,0
model20063.csv,265,27,6,3,3,301,2,0
model20064.csv,291,9,1,0,0,301,1,0
model20065.csv,265,30,6,0,0,301,1,0
model20066.csv,264,22,14,1,1,301,2,0
model20067.csv,254,25,20,2,2,301,2,0
model20068.csv,259,33,8,1,1,301,2,0
model20069.csv,251,38,7,5,5,301,2,0
model20070.csv,272,20,9,0,0,301,1,0
model20071.csv,263,32,6,0,0,301,1,0
model20072.csv,261,35,5,0,0,301,1,0
model20073.csv,266,30,5,0,0,301,1,0
model20074.csv,265,31,5,0,0,301,1,0
model20075.csv,272,23,6,0,0,301,1,0
model20076.csv,272,23,6,0,0,301,1,0
model20077.csv,272,25,4,0,0,301,1,0
model20078.csv,269,22,10,0,0,301,1,0
model20079.csv,269,24,8,0,0,301,1,0
model20080.csv,269,26,6,0,0,301,1,0
model20081.csv,248,38,14,1,1,301,2,0
model20082.csv,249,38,14,0,0,301,1,0
model20083.csv,249,37,15,0,0,301,1,0
model20084.csv,248,39,14,0,0,301,1,0
model20085.csv,252,36,12,1,1,301,2,0
model20086.csv,252,35,14,0,0,301,1,0
model20087.csv,254,33,14,0,0,301,1,0
model20088.csv,243,36,16,6,6,301,2,0
model20089.csv,246,36,19,0,0,301,1,0
model20090.csv,267,27,7,0,0,301,1,0
model20091.csv,256,32,10,3,3,301,2,0
model20092.csv,267,24,10,0,0,301,1,0
model20093.csv,258,31,8,4,4,301,2,0
model20094.csv,257,40,4,0,0,301,1,0
model20095.csv,252,42,6,1,1,301,2,0
model20096.csv,249,36,10,6,6,301,2,0
model20097.csv,262,24,15,0,0,301,1,0
model20098.csv,252,29,18,2,2,301,2,0
model20099.csv,246,35,16,4,4,301,2,0
model20100.csv,261,24,16,0,0,301,1,0
model20101.csv,253,31,15,2,2,301,2,0
model20102.csv,248,36,13,4,4,301,2,0
model20103.csv,262,33,6,0,0,301,1,0
model20104.csv,257,34,10,0,0,301,1,0
model20105.csv,254,28,17,2,2,301,2,0
model20106.csv,259,34,6,2,2,301,2,0
model20107.csv,250,39,9,3,3,301,2,0
model20108.csv,246,31,14,10,10,301,2,0
model20109.csv,243,48,10,0,0,301,1,0
model20110.csv,240,52,7,2,2,301,2,0
model20111.csv,251,45,5,0,0,301,1,0
model20112.csv,248,47,6,0,0,301,1,0
model20113.csv,247,46,8,0,0,301,1,0
model20114.csv,247,49,5,0,0,301,1,0
model20115.csv,242,54,4,1,1,301,2,0
model20116.csv,241,51,5,4,4,301,2,0
model20117.csv,261,38,2,0,0,301,1,0
model20118.csv,261,37,3,0,0,301,1,0
model20119.csv,261,37,3,0,0,301,1,0
model20120.csv,268,30,1,2,2,301,3,0
model20121.csv,267,31,1,2,2,301,3,0
model20122.csv,225,52,13,11,11,301,2,0
model20123.csv,225,43,23,10,10,301,2,0
model20124.csv,247,44,9,1,1,301,2,0
