,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model100001.csv,244,39,18,0,0,301,1,0
model100002.csv,240,38,21,2,2,301,2,0
model100003.csv,243,41,17,0,0,301,1,0
model100004.csv,231,36,30,4,4,301,2,0
model100005.csv,235,40,25,1,1,301,2,0
model100006.csv,256,33,12,0,0,301,1,0
model100007.csv,256,34,11,0,0,301,1,0
model100008.csv,251,36,14,0,0,301,1,0
model100009.csv,251,37,13,0,0,301,1,0
model100010.csv,249,37,14,1,1,301,2,0
model100011.csv,252,38,11,0,0,301,1,0
model100012.csv,242,38,18,3,3,301,2,0
model100013.csv,246,38,16,1,1,301,2,0
model100014.csv,240,44,15,2,2,301,2,0
model100015.csv,242,44,14,1,1,301,2,0
model100016.csv,235,48,18,0,0,301,1,0
model100017.csv,237,48,16,0,0,301,1,0
model100018.csv,245,36,17,3,3,301,2,0
model100019.csv,248,37,15,1,1,301,2,0
model100020.csv,239,35,24,3,3,301,2,0
model100021.csv,243,37,20,1,1,301,2,0
model100022.csv,233,39,25,4,4,301,2,0
model100023.csv,237,42,21,1,1,301,2,0
model100024.csv,234,37,26,4,4,301,2,0
model100025.csv,238,41,21,1,1,301,2,0
model100026.csv,219,43,24,15,15,301,2,0
model100027.csv,226,47,19,9,9,301,2,0
model100028.csv,224,46,26,5,5,301,2,0
model100029.csv,230,48,18,5,5,301,2,0
model100030.csv,223,45,29,4,4,301,2,0
model100031.csv,229,47,21,4,4,301,2,0
model100032.csv,214,42,38,7,7,301,2,0
model100033.csv,221,45,31,4,4,301,2,0
model100034.csv,239,40,21,1,1,301,2,0
model100035.csv,238,41,21,1,1,301,2,0
model100036.csv,243,42,15,1,1,301,2,0
model100037.csv,242,41,17,1,1,301,2,0
model100038.csv,243,40,18,0,0,301,1,0
model100039.csv,242,40,19,0,0,301,1,0
model100040.csv,235,39,27,0,0,301,1,0
model100041.csv,234,39,27,1,1,301,2,0
model100042.csv,239,39,19,4,4,301,2,0
model100043.csv,239,41,19,2,2,301,2,0
model100044.csv,243,43,15,0,0,301,1,0
model100045.csv,243,43,15,0,0,301,1,0
model100046.csv,242,43,16,0,0,301,1,0
model100047.csv,242,44,15,0,0,301,1,0
model100048.csv,234,43,24,0,0,301,1,0
model100049.csv,234,44,22,1,1,301,2,0
model100050.csv,234,40,22,5,5,301,2,0
model100051.csv,237,41,21,2,2,301,2,0
model100052.csv,238,40,23,0,0,301,1,0
model100053.csv,241,42,18,0,0,301,1,0
model100054.csv,237,41,21,2,2,301,2,0
model100055.csv,240,44,17,0,0,301,1,0
model100056.csv,229,39,29,4,4,301,2,0
model100057.csv,232,43,25,1,1,301,2,0
model100058.csv,256,33,12,0,0,301,1,0
model100059.csv,255,34,12,0,0,301,1,0
model100060.csv,255,35,11,0,0,301,1,0
model100061.csv,250,37,14,0,0,301,1,0
model100062.csv,250,38,13,0,0,301,1,0
model100063.csv,249,37,14,1,1,301,2,0
model100064.csv,252,37,12,0,0,301,1,0
model100065.csv,248,38,14,1,1,301,2,0
model100066.csv,251,39,11,0,0,301,1,0
model100067.csv,242,38,18,3,3,301,2,0
model100068.csv,245,39,16,1,1,301,2,0
model100069.csv,239,46,14,2,2,301,2,0
model100070.csv,241,45,14,1,1,301,2,0
model100071.csv,234,49,18,0,0,301,1,0
model100072.csv,236,49,16,0,0,301,1,0
model100073.csv,244,36,18,3,3,301,2,0
model100074.csv,247,38,15,1,1,301,2,0
model100075.csv,239,36,23,3,3,301,2,0
model100076.csv,242,39,19,1,1,301,2,0
model100077.csv,244,39,16,2,2,301,2,0
model100078.csv,247,39,14,1,1,301,2,0
model100079.csv,246,39,15,1,1,301,2,0
model100080.csv,249,40,12,0,0,301,1,0
model100081.csv,236,41,21,3,3,301,2,0
model100082.csv,239,42,19,1,1,301,2,0
model100083.csv,245,36,17,3,3,301,2,0
