,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model90001.csv,249,45,6,1,1,301,2,0
model90002.csv,246,42,12,1,1,301,2,0
model90003.csv,246,45,5,5,5,301,3,0
model90004.csv,243,42,6,10,10,301,3,0
model90005.csv,259,31,7,4,4,301,2,0
model90006.csv,262,32,3,4,4,301,2,0
model90007.csv,253,35,8,5,5,301,2,0
model90008.csv,256,36,5,4,4,301,2,0
model90009.csv,252,40,5,4,4,301,2,0
model90010.csv,247,46,4,4,4,301,2,0
model90011.csv,235,45,7,14,14,301,2,0
model90012.csv,234,44,6,17,17,301,2,0
model90013.csv,254,39,5,3,3,301,2,0
model90014.csv,257,41,3,0,0,301,1,0
model90015.csv,257,37,7,0,0,301,1,0
model90016.csv,260,39,2,0,0,301,1,0
model90017.csv,244,41,14,2,2,301,2,0
model90018.csv,247,43,11,0,0,301,1,0
model90019.csv,252,45,4,0,0,301,1,0
model90020.csv,264,36,1,0,0,301,1,0
model90021.csv,251,41,9,0,0,301,1,0
model90022.csv,241,51,9,0,0,301,1,0
model90023.csv,238,53,10,0,0,301,1,0
model90024.csv,242,50,9,0,0,301,1,0
model90025.csv,239,51,11,0,0,301,1,0
model90026.csv,249,44,8,0,0,301,1,0
model90027.csv,249,44,8,0,0,301,1,0
model90028.csv,238,51,12,0,0,301,1,0
model90029.csv,233,50,17,1,1,301,2,0
model90030.csv,246,48,7,0,0,301,1,0
model90031.csv,246,46,9,0,0,301,1,0
model90032.csv,235,54,12,0,0,301,1,0
model90033.csv,230,51,15,5,5,301,2,0
model90034.csv,249,45,7,0,0,301,1,0
model90035.csv,249,44,8,0,0,301,1,0
model90036.csv,238,54,9,0,0,301,1,0
model90037.csv,234,50,16,1,1,301,2,0
model90038.csv,249,43,6,3,3,301,2,0
model90039.csv,248,43,7,3,3,301,2,0
model90040.csv,242,52,7,0,0,301,1,0
model90041.csv,240,53,7,1,1,301,2,0
model90042.csv,265,34,2,0,0,301,1,0
model90043.csv,265,33,3,0,0,301,1,0
model90044.csv,260,39,2,0,0,301,1,0
model90045.csv,258,35,7,1,1,301,2,0
model90046.csv,259,37,5,0,0,301,1,0
model90047.csv,259,36,6,0,0,301,1,0
model90048.csv,254,42,5,0,0,301,1,0
model90049.csv,252,38,10,1,1,301,2,0
model90050.csv,261,37,3,0,0,301,1,0
model90051.csv,261,36,4,0,0,301,1,0
model90052.csv,253,43,5,0,0,301,1,0
model90053.csv,250,40,10,1,1,301,2,0
model90054.csv,255,41,5,0,0,301,1,0
model90055.csv,255,40,6,0,0,301,1,0
model90056.csv,247,47,7,0,0,301,1,0
model90057.csv,244,44,12,1,1,301,2,0
model90058.csv,250,38,5,8,8,301,2,0
model90059.csv,253,36,5,7,7,301,2,0
model90060.csv,249,43,5,4,4,301,2,0
model90061.csv,250,41,6,4,4,301,2,0
model90062.csv,250,45,2,4,4,301,2,0
model90063.csv,253,43,2,3,3,301,2,0
model90064.csv,249,48,2,2,2,301,2,0
model90065.csv,250,46,3,2,2,301,2,0
model90066.csv,284,12,5,0,0,301,1,0
model90067.csv,257,31,13,0,0,301,1,0
model90068.csv,260,30,11,0,0,301,1,0
model90069.csv,249,38,14,0,0,301,1,0
model90070.csv,256,28,16,1,1,301,2,0
model90071.csv,246,33,21,1,1,301,2,0
model90072.csv,244,44,11,2,2,301,2,0
model90073.csv,263,29,8,1,1,301,2,0
model90074.csv,234,42,21,4,4,301,2,0
model90075.csv,230,40,22,9,9,301,2,0
model90076.csv,248,39,14,0,0,301,1,0
model90077.csv,246,41,14,0,0,301,1,0
model90078.csv,250,38,13,0,0,301,1,0
model90079.csv,245,40,14,2,2,301,2,0
model90080.csv,237,24,37,3,3,301,2,0
model90081.csv,229,30,35,7,7,301,2,0
model90082.csv,247,25,27,2,2,301,2,0
model90083.csv,239,32,27,3,3,301,2,0
model90084.csv,233,22,43,3,3,301,2,0
model90085.csv,225,29,38,9,9,301,2,0
model90086.csv,252,41,7,1,1,301,2,0
model90087.csv,252,43,6,0,0,301,1,0
model90088.csv,258,38,5,0,0,301,1,0
model90089.csv,251,44,6,0,0,301,1,0
model90090.csv,255,41,5,0,0,301,1,0
model90091.csv,247,44,10,0,0,301,1,0
model90092.csv,252,41,8,0,0,301,1,0
model90093.csv,245,45,11,0,0,301,1,0
model90094.csv,248,46,7,0,0,301,1,0
model90095.csv,240,49,12,0,0,301,1,0
model90096.csv,248,25,24,4,4,301,2,0
model90097.csv,256,34,11,0,0,301,1,0
model90098.csv,241,38,21,1,1,301,2,0
model90099.csv,247,25,25,4,4,301,2,0
model90100.csv,231,32,25,13,13,301,2,0
model90101.csv,234,39,24,4,4,301,2,0
model90102.csv,227,48,24,2,2,301,2,0
model90103.csv,223,34,37,7,7,301,2,0
model90104.csv,217,43,35,6,6,301,2,0
model90105.csv,238,44,16,3,3,301,2,0
model90106.csv,238,41,16,6,6,301,2,0
model90107.csv,237,47,14,3,3,301,2,0
model90108.csv,242,47,11,1,1,301,2,0
model90109.csv,236,48,13,4,4,301,2,0
model90110.csv,240,46,11,4,4,301,2,0
model90111.csv,253,30,16,2,2,301,2,0
model90112.csv,233,32,33,3,3,301,2,0
model90113.csv,249,35,15,2,2,301,2,0
model90114.csv,225,35,35,6,6,301,2,0
model90115.csv,257,33,9,2,2,301,2,0
model90116.csv,240,39,20,2,2,301,2,0
model90117.csv,250,39,9,3,3,301,2,0
model90118.csv,229,43,23,6,6,301,2,0
model90119.csv,225,35,34,7,7,301,2,0
model90120.csv,211,34,35,21,21,301,2,0
model90121.csv,245,31,19,6,6,301,2,0
model90122.csv,229,43,23,6,6,301,2,0
model90123.csv,247,36,17,1,1,301,2,0
model90124.csv,231,48,20,2,2,301,2,0
model90125.csv,250,36,13,2,2,301,2,0
model90126.csv,236,49,15,1,1,301,2,0
model90127.csv,251,38,11,1,1,301,2,0
model90128.csv,237,51,12,1,1,301,2,0
model90129.csv,231,43,21,6,6,301,2,0
model90130.csv,233,48,19,1,1,301,2,0
model90131.csv,257,32,11,1,1,301,2,0
model90132.csv,241,43,14,3,3,301,2,0
model90133.csv,257,35,8,1,1,301,2,0
model90134.csv,243,46,10,2,2,301,2,0
model90135.csv,240,42,12,7,7,301,2,0
model90136.csv,229,50,22,0,0,301,1,0
model90137.csv,230,50,21,0,0,301,1,0
model90138.csv,240,49,11,1,1,301,2,0
model90139.csv,242,50,9,0,0,301,1,0
model90140.csv,233,52,16,0,0,301,1,0
model90141.csv,233,51,17,0,0,301,1,0
model90142.csv,232,47,22,0,0,301,1,0
model90143.csv,223,53,21,4,4,301,2,0
model90144.csv,223,51,21,6,6,301,2,0
model90145.csv,246,38,17,0,0,301,1,0
model90146.csv,245,40,16,0,0,301,1,0
model90147.csv,232,34,35,0,0,301,1,0
model90148.csv,229,36,35,1,1,301,2,0
model90149.csv,255,36,10,0,0,301,1,0
model90150.csv,256,38,7,0,0,301,1,0
model90151.csv,245,37,19,0,0,301,1,0
model90152.csv,245,39,16,1,1,301,2,0
model90153.csv,246,45,10,0,0,301,1,0
model90154.csv,233,43,24,1,1,301,2,0
model90155.csv,247,37,16,1,1,301,2,0
model90156.csv,248,38,14,1,1,301,2,0
model90157.csv,231,34,35,1,1,301,2,0
model90158.csv,231,34,34,2,2,301,2,0
model90159.csv,241,44,15,1,1,301,2,0
model90160.csv,239,45,16,1,1,301,2,0
model90161.csv,222,39,32,8,8,301,2,0
