,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model60001.csv,259,33,9,0,0,301,1,0
model60002.csv,239,36,21,5,5,301,2,0
model60003.csv,271,27,3,0,0,301,1,0
model60004.csv,252,31,10,8,8,301,2,0
model60005.csv,263,29,9,0,0,301,1,0
model60006.csv,246,33,17,5,5,301,2,0
model60007.csv,261,30,8,2,2,301,2,0
model60008.csv,238,32,12,19,19,301,2,0
model60009.csv,268,27,5,1,1,301,2,0
model60010.csv,250,29,8,14,14,301,2,0
model60011.csv,268,27,6,0,0,301,1,0
model60012.csv,251,29,12,9,9,301,2,0
model60013.csv,267,28,5,1,1,301,2,0
model60014.csv,248,32,7,14,14,301,2,0
model60015.csv,270,26,5,0,0,301,1,0
model60016.csv,255,28,9,9,9,301,2,0
model60017.csv,259,32,8,2,2,301,2,0
model60018.csv,236,34,11,20,20,301,2,0
model60019.csv,268,28,4,1,1,301,2,0
model60020.csv,250,30,7,14,14,301,2,0
model60021.csv,268,28,5,0,0,301,1,0
model60022.csv,251,30,11,9,9,301,2,0
model60023.csv,270,27,3,1,1,301,2,0
model60024.csv,251,30,6,14,14,301,2,0
model60025.csv,273,25,3,0,0,301,1,0
model60026.csv,258,26,8,9,9,301,2,0
model60027.csv,260,35,5,1,1,301,2,0
model60028.csv,239,39,7,16,16,301,2,0
model60029.csv,266,32,3,0,0,301,1,0
model60030.csv,249,36,7,9,9,301,2,0
model60031.csv,296,5,0,0,0,301,1,0
model60032.csv,273,21,7,0,0,301,1,0
model60033.csv,280,17,4,0,0,301,1,0
model60034.csv,273,22,6,0,0,301,1,0
model60035.csv,276,18,6,1,1,301,2,0
model60036.csv,270,21,9,1,1,301,2,0
model60037.csv,260,29,11,1,1,301,2,0
model60038.csv,254,34,12,1,1,301,2,0
model60039.csv,261,29,8,3,3,301,2,0
model60040.csv,256,28,13,4,4,301,2,0
model60041.csv,264,23,13,1,1,301,2,0
model60042.csv,258,27,15,1,1,301,2,0
model60043.csv,268,20,12,1,1,301,2,0
model60044.csv,261,25,13,2,2,301,2,0
model60045.csv,261,24,15,1,1,301,2,0
model60046.csv,255,27,18,1,1,301,2,0
model60047.csv,263,30,8,0,0,301,1,0
model60048.csv,256,36,9,0,0,301,1,0
model60049.csv,271,25,4,1,1,301,2,0
model60050.csv,264,32,5,0,0,301,1,0
model60051.csv,267,29,4,1,1,301,2,0
model60052.csv,260,36,4,1,1,301,2,0
model60053.csv,266,27,8,0,0,301,1,0
model60054.csv,259,33,9,0,0,301,1,0
model60055.csv,265,27,9,0,0,301,1,0
model60056.csv,258,33,10,0,0,301,1,0
model60057.csv,284,14,3,0,0,301,1,0
model60058.csv,285,13,3,0,0,301,1,0
model60059.csv,283,15,3,0,0,301,1,0
model60060.csv,284,14,3,0,0,301,1,0
model60061.csv,283,15,3,0,0,301,1,0
model60062.csv,284,14,3,0,0,301,1,0
model60063.csv,284,14,3,0,0,301,1,0
model60064.csv,285,13,3,0,0,301,1,0
model60065.csv,279,18,4,0,0,301,1,0
model60066.csv,280,17,4,0,0,301,1,0
model60067.csv,283,15,3,0,0,301,1,0
model60068.csv,283,15,3,0,0,301,1,0
model60069.csv,285,13,3,0,0,301,1,0
model60070.csv,286,12,3,0,0,301,1,0
model60071.csv,282,16,3,0,0,301,1,0
model60072.csv,282,15,4,0,0,301,1,0
model60073.csv,280,16,4,1,1,301,2,0
model60074.csv,281,17,3,0,0,301,1,0
model60075.csv,286,12,3,0,0,301,1,0
model60076.csv,281,15,5,0,0,301,1,0
model60077.csv,284,14,3,0,0,301,1,0
model60078.csv,283,15,3,0,0,301,1,0
model60079.csv,282,16,3,0,0,301,1,0
model60080.csv,282,15,4,0,0,301,1,0
model60081.csv,280,16,5,0,0,301,1,0
model60082.csv,280,17,4,0,0,301,1,0
model60083.csv,261,28,12,0,0,301,1,0
model60084.csv,268,26,7,0,0,301,1,0
model60085.csv,264,27,10,0,0,301,1,0
model60086.csv,270,24,7,0,0,301,1,0
model60087.csv,264,27,10,0,0,301,1,0
model60088.csv,269,26,6,0,0,301,1,0
model60089.csv,270,27,4,0,0,301,1,0
model60090.csv,274,23,4,0,0,301,1,0
model60091.csv,261,29,11,0,0,301,1,0
model60092.csv,266,27,8,0,0,301,1,0
model60093.csv,272,23,6,0,0,301,1,0
model60094.csv,272,23,6,0,0,301,1,0
model60095.csv,276,21,4,0,0,301,1,0
model60096.csv,277,20,4,0,0,301,1,0
model60097.csv,271,24,6,0,0,301,1,0
model60098.csv,271,23,7,0,0,301,1,0
model60099.csv,271,25,4,1,1,301,2,0
model60100.csv,272,26,3,0,0,301,1,0
model60101.csv,275,20,6,0,0,301,1,0
model60102.csv,270,23,8,0,0,301,1,0
model60103.csv,273,22,6,0,0,301,1,0
model60104.csv,272,23,6,0,0,301,1,0
model60105.csv,271,24,6,0,0,301,1,0
model60106.csv,271,23,7,0,0,301,1,0
model60107.csv,269,24,8,0,0,301,1,0
model60108.csv,269,25,7,0,0,301,1,0
model60109.csv,263,33,3,2,2,301,2,0
model60110.csv,267,32,2,0,0,301,1,0
model60111.csv,269,28,2,2,2,301,2,0
model60112.csv,273,28,0,0,0,301,1,0
model60113.csv,265,34,2,0,0,301,1,0
model60114.csv,267,32,2,0,0,301,1,0
model60115.csv,272,27,1,1,1,301,2,0
model60116.csv,273,28,0,0,0,301,1,0
model60117.csv,277,24,0,0,0,301,1,0
model60118.csv,272,27,2,0,0,301,1,0
model60119.csv,276,25,0,0,0,301,1,0
model60120.csv,275,26,0,0,0,301,1,0
model60121.csv,273,28,0,0,0,301,1,0
model60122.csv,274,26,1,0,0,301,1,0
model60123.csv,271,28,2,0,0,301,1,0
model60124.csv,272,28,1,0,0,301,1,0
model60125.csv,262,37,2,0,0,301,1,0
model60126.csv,268,33,0,0,0,301,1,0
model60127.csv,262,37,2,0,0,301,1,0
model60128.csv,268,33,0,0,0,301,1,0
model60129.csv,272,29,0,0,0,301,1,0
model60130.csv,267,32,2,0,0,301,1,0
model60131.csv,270,31,0,0,0,301,1,0
model60132.csv,270,31,0,0,0,301,1,0
model60133.csv,269,31,1,0,0,301,1,0
model60134.csv,267,33,1,0,0,301,1,0
model60135.csv,257,35,1,8,8,301,3,0
model60136.csv,264,35,1,1,1,301,2,0
model60137.csv,274,26,1,0,0,301,1,0
model60138.csv,269,29,3,0,0,301,1,0
model60139.csv,272,28,1,0,0,301,1,0
model60140.csv,270,30,1,0,0,301,1,0
model60141.csv,271,28,2,0,0,301,1,0
model60142.csv,268,30,3,0,0,301,1,0
model60143.csv,269,30,2,0,0,301,1,0
model60144.csv,257,35,7,2,2,301,2,0
model60145.csv,267,26,7,1,1,301,2,0
model60146.csv,262,29,9,1,1,301,2,0
model60147.csv,265,28,7,1,1,301,2,0
model60148.csv,265,28,7,1,1,301,2,0
model60149.csv,263,30,7,1,1,301,2,0
model60150.csv,264,28,8,1,1,301,2,0
model60151.csv,263,35,3,0,0,301,1,0
model60152.csv,262,29,7,3,3,301,3,0
model60153.csv,275,21,5,0,0,301,1,0
model60154.csv,270,24,7,0,0,301,1,0
model60155.csv,273,23,5,0,0,301,1,0
model60156.csv,271,25,5,0,0,301,1,0
model60157.csv,271,24,6,0,0,301,1,0
model60158.csv,269,25,7,0,0,301,1,0
model60159.csv,269,26,6,0,0,301,1,0
model60160.csv,261,30,7,3,3,301,3,0
model60161.csv,274,22,5,0,0,301,1,0
model60162.csv,269,25,7,0,0,301,1,0
model60163.csv,272,24,5,0,0,301,1,0
model60164.csv,271,25,5,0,0,301,1,0
model60165.csv,270,26,5,0,0,301,1,0
model60166.csv,270,25,6,0,0,301,1,0
model60167.csv,268,27,6,0,0,301,1,0
model60168.csv,263,35,3,0,0,301,1,0
model60169.csv,258,38,5,0,0,301,1,0
model60170.csv,262,37,2,0,0,301,1,0
model60171.csv,259,40,2,0,0,301,1,0
model60172.csv,247,43,9,2,2,301,2,0
model60173.csv,244,44,7,6,6,301,2,0
model60174.csv,259,41,1,0,0,301,1,0
model60175.csv,254,43,4,0,0,301,1,0
model60176.csv,257,43,1,0,0,301,1,0
model60177.csv,257,42,2,0,0,301,1,0
model60178.csv,255,45,1,0,0,301,1,0
model60179.csv,256,43,2,0,0,301,1,0
model60180.csv,245,47,8,1,1,301,2,0
model60181.csv,242,48,7,4,4,301,2,0
model60182.csv,263,36,1,1,1,301,2,0
model60183.csv,260,39,1,1,1,301,2,0
model60184.csv,261,37,2,1,1,301,2,0
model60185.csv,260,38,2,1,1,301,2,0
model60186.csv,253,45,2,1,1,301,2,0
model60187.csv,249,44,2,6,6,301,2,0
model60188.csv,255,37,6,3,3,301,2,0
model60189.csv,252,40,6,3,3,301,2,0
model60190.csv,253,39,6,3,3,301,2,0
model60191.csv,245,47,6,3,3,301,2,0
model60192.csv,268,28,4,1,1,301,2,0
model60193.csv,263,31,6,1,1,301,2,0
model60194.csv,266,30,4,1,1,301,2,0
model60195.csv,265,31,4,1,1,301,2,0
model60196.csv,253,35,9,4,4,301,2,0
model60197.csv,247,30,7,17,17,301,2,0
model60198.csv,267,26,6,2,2,301,2,0
model60199.csv,262,29,8,2,2,301,2,0
model60200.csv,265,28,6,2,2,301,2,0
model60201.csv,252,33,13,3,3,301,2,0
model60202.csv,270,30,1,0,0,301,1,0
model60203.csv,265,33,3,0,0,301,1,0
model60204.csv,260,36,3,2,2,301,2,0
model60205.csv,255,38,3,5,5,301,2,0
model60206.csv,265,34,2,0,0,301,1,0
model60207.csv,260,36,5,0,0,301,1,0
model60208.csv,255,39,6,1,1,301,2,0
model60209.csv,273,28,0,0,0,301,1,0
model60210.csv,270,30,1,0,0,301,1,0
model60211.csv,265,33,1,2,2,301,2,0
model60212.csv,261,34,1,5,5,301,2,0
model60213.csv,265,30,5,1,1,301,2,0
model60214.csv,261,32,7,1,1,301,2,0
model60215.csv,257,35,7,2,2,301,2,0
model60216.csv,272,29,0,0,0,301,1,0
model60217.csv,267,32,2,0,0,301,1,0
model60218.csv,262,35,2,2,2,301,2,0
model60219.csv,257,37,2,5,5,301,2,0
model60220.csv,265,31,4,1,1,301,2,0
model60221.csv,260,33,7,1,1,301,2,0
model60222.csv,255,36,8,2,2,301,2,0
model60223.csv,267,34,0,0,0,301,1,0
model60224.csv,262,37,2,0,0,301,1,0
model60225.csv,255,40,4,2,2,301,2,0
model60226.csv,249,36,8,8,8,301,2,0
model60227.csv,260,35,5,1,1,301,2,0
model60228.csv,255,38,7,1,1,301,2,0
model60229.csv,248,41,10,2,2,301,2,0
model60230.csv,295,4,1,1,1,301,2,0
model60231.csv,266,23,11,1,1,301,2,0
model60232.csv,281,14,5,1,1,301,2,0
model60233.csv,267,22,9,3,3,301,2,0
model60234.csv,259,27,12,3,3,301,2,0
model60235.csv,259,28,12,2,2,301,2,0
model60236.csv,253,33,13,2,2,301,2,0
model60237.csv,250,33,12,6,6,301,2,0
