,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model120001.csv,247,45,9,0,0,301,1,0
model120002.csv,244,49,8,0,0,301,1,0
model120003.csv,249,45,7,0,0,301,1,0
model120004.csv,246,49,6,0,0,301,1,0
model120005.csv,239,49,13,0,0,301,1,0
model120006.csv,234,47,20,0,0,301,1,0
model120007.csv,236,53,12,0,0,301,1,0
model120008.csv,231,50,20,0,0,301,1,0
model120009.csv,247,46,8,0,0,301,1,0
model120010.csv,244,50,7,0,0,301,1,0
model120011.csv,248,47,6,0,0,301,1,0
model120012.csv,245,51,5,0,0,301,1,0
model120013.csv,240,51,10,0,0,301,1,0
model120014.csv,236,50,15,0,0,301,1,0
model120015.csv,237,55,9,0,0,301,1,0
model120016.csv,233,53,15,0,0,301,1,0
model120017.csv,248,46,7,0,0,301,1,0
model120018.csv,245,50,6,0,0,301,1,0
model120019.csv,249,47,5,0,0,301,1,0
model120020.csv,246,51,4,0,0,301,1,0
model120021.csv,240,51,10,0,0,301,1,0
model120022.csv,236,52,13,0,0,301,1,0
model120023.csv,237,55,9,0,0,301,1,0
model120024.csv,233,54,14,0,0,301,1,0
model120025.csv,235,50,16,0,0,301,1,0
model120026.csv,232,54,15,0,0,301,1,0
model120027.csv,237,49,15,0,0,301,1,0
model120028.csv,234,53,14,0,0,301,1,0
model120029.csv,226,55,19,1,1,301,2,0
model120030.csv,221,53,26,1,1,301,2,0
model120031.csv,222,59,19,1,1,301,2,0
model120032.csv,217,56,26,2,2,301,2,0
model120033.csv,233,55,13,0,0,301,1,0
model120034.csv,229,55,17,0,0,301,1,0
model120035.csv,229,59,13,0,0,301,1,0
model120036.csv,225,58,18,0,0,301,1,0
model120037.csv,223,58,20,0,0,301,1,0
model120038.csv,218,56,27,0,0,301,1,0
model120039.csv,219,62,20,0,0,301,1,0
model120040.csv,214,59,28,0,0,301,1,0
model120041.csv,236,45,20,0,0,301,1,0
model120042.csv,240,45,16,0,0,301,1,0
model120043.csv,233,47,21,0,0,301,1,0
